Timestamp: 1656014796.2756963, Acceleration: ['-0.07', ' 0.00', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.2857447, Acceleration: [' 0.14', '-0.07', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.295735, Acceleration: [' 0.06', '-0.06', '10.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.305887, Acceleration: [' 0.06', ' 0.09', '10.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3163164, Acceleration: [' 0.17', ' 0.08', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3256786, Acceleration: [' 0.02', ' 0.23', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3355718, Acceleration: [' 0.09', ' 0.14', '10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3461459, Acceleration: ['-0.01', ' 0.09', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3558722, Acceleration: [' 0.20', '-0.14', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3672733, Acceleration: ['-0.02', '-0.11', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3755581, Acceleration: [' 0.11', '-0.10', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.386022, Acceleration: [' 0.10', ' 0.06', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.3956375, Acceleration: [' 0.16', ' 0.17', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
