Timestamp: 1647980840.8646753, Acceleration: ['-0.01', ' 0.16', ' 9.72'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.8747876, Acceleration: [' 0.00', ' 0.21', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.8846648, Acceleration: [' 0.00', ' 0.18', ' 9.77'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.8945706, Acceleration: [' 0.07', ' 0.14', ' 9.62'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9047399, Acceleration: [' 0.02', ' 0.12', ' 9.70'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9147425, Acceleration: ['-0.00', ' 0.18', ' 9.58'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9245446, Acceleration: [' 0.03', ' 0.17', ' 9.78'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9346385, Acceleration: [' 0.04', ' 0.16', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9445605, Acceleration: [' 0.09', ' 0.10', ' 9.68'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.954554, Acceleration: [' 0.07', ' 0.17', ' 9.62'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9646356, Acceleration: [' 0.03', ' 0.21', ' 9.81'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9745407, Acceleration: [' 0.01', ' 0.39', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9845026, Acceleration: ['-0.03', ' 0.14', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.9946525, Acceleration: ['-0.03', ' 0.11', ' 9.71'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.004535, Acceleration: [' 0.10', ' 0.16', ' 9.58'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.0146337, Acceleration: ['-0.03', ' 0.19', ' 9.82'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.02465, Acceleration: ['-0.02', ' 0.22', ' 9.84'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
