Timestamp: 1656013888.837992, Acceleration: [' 0.09', ' 0.02', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.847832, Acceleration: [' 0.03', '-0.19', ' 8.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.8579426, Acceleration: [' 0.33', '-0.12', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.8680236, Acceleration: ['-0.13', ' 0.06', ' 8.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.877986, Acceleration: [' 0.56', ' 0.27', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.887938, Acceleration: [' 0.13', ' 0.57', ' 9.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.8981402, Acceleration: [' 0.56', ' 0.23', ' 9.28'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.9079726, Acceleration: [' 0.24', ' 0.31', ' 9.52'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.9179444, Acceleration: [' 0.13', '-0.24', ' 8.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.9278593, Acceleration: [' 0.23', '-0.22', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.938014, Acceleration: ['-0.09', '-0.09', ' 8.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.94787, Acceleration: [' 0.31', ' 0.04', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.957927, Acceleration: ['-0.13', ' 0.14', ' 9.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.9678845, Acceleration: [' 0.54', ' 0.21', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.9785097, Acceleration: [' 0.47', ' 0.41', ' 9.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.9879994, Acceleration: [' 0.42', ' 0.59', ' 9.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0029936, Acceleration: ['-0.15', '-0.00', ' 9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0098102, Acceleration: ['-0.23', '-0.29', ' 8.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0179584, Acceleration: ['-0.18', '-0.24', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0279524, Acceleration: [' 0.35', '-0.13', ' 8.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0377975, Acceleration: [' 0.01', '-0.11', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0480044, Acceleration: [' 0.44', ' 0.18', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.057888, Acceleration: [' 0.38', ' 0.05', ' 9.38'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.068099, Acceleration: [' 0.35', ' 0.33', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0782025, Acceleration: [' 0.66', ' 0.31', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.0880172, Acceleration: [' 0.09', ' 0.11', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.097978, Acceleration: [' 0.49', '-0.18', ' 8.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1080747, Acceleration: ['-0.16', '-0.29', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1180685, Acceleration: [' 0.28', '-0.22', ' 9.38'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1280313, Acceleration: [' 0.13', ' 0.09', ' 9.44'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1380026, Acceleration: [' 0.29', ' 0.32', ' 9.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1479719, Acceleration: [' 0.60', ' 0.43', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1579843, Acceleration: [' 0.26', ' 0.36', ' 8.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1680586, Acceleration: [' 0.84', ' 0.23', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1778357, Acceleration: [' 0.18', ' 0.20', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1879478, Acceleration: [' 0.48', '-0.06', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.1980498, Acceleration: [' 0.06', '-0.24', ' 9.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
