Timestamp: 1656014653.9433994, Acceleration: ['-1.21', ' 0.39', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.9534283, Acceleration: ['-1.26', ' 0.38', '10.18'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.963257, Acceleration: ['-1.96', ' 0.32', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.97351, Acceleration: ['-1.69', ' 0.21', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.9835088, Acceleration: ['-2.40', ' 0.12', ' 9.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.9932344, Acceleration: ['-2.22', ' 0.07', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.003196, Acceleration: ['-2.73', ' 0.40', '10.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.0133517, Acceleration: ['-1.97', ' 0.57', '10.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.023336, Acceleration: ['-1.35', ' 0.77', '11.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.0331898, Acceleration: ['-0.80', ' 0.49', ' 9.18'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.0433662, Acceleration: ['-0.84', ' 0.30', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.053187, Acceleration: ['-1.76', ' 0.13', ' 8.44'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.0631833, Acceleration: ['-1.79', ' 0.25', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.0733366, Acceleration: ['-2.50', ' 0.28', ' 9.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.08322, Acceleration: ['-1.89', ' 0.19', '10.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.093272, Acceleration: ['-2.18', ' 0.37', '10.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1031816, Acceleration: ['-1.51', ' 0.51', '10.37'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1133742, Acceleration: ['-1.48', ' 0.66', '11.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1232352, Acceleration: ['-0.90', ' 0.54', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1331964, Acceleration: ['-0.59', ' 0.34', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1434522, Acceleration: ['-1.24', ' 0.13', ' 8.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1531982, Acceleration: ['-1.59', ' 0.02', ' 9.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1632848, Acceleration: ['-2.50', ' 0.19', ' 9.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1734238, Acceleration: ['-1.80', ' 0.49', '10.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1831946, Acceleration: ['-1.90', ' 0.51', '10.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.1931965, Acceleration: ['-1.21', ' 0.30', '10.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2034419, Acceleration: ['-1.27', ' 0.50', '10.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
