Timestamp: 1656015028.855528, Acceleration: [' 0.47', ' 0.32', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.34', ' 0.36', '-1.63'] 
Timestamp: 1656015028.9554887, Acceleration: [' 0.06', ' 0.24', ' 8.58'], Velocity: [' 0.01', ' 0.02', '-0.12'], Position: [' 0.34', ' 0.36', '-1.65'] 
Timestamp: 1656015029.055494, Acceleration: [' 0.36', ' 0.44', ' 9.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.35', ' 0.37', '-1.67'] 
Timestamp: 1656015029.155494, Acceleration: [' 0.21', ' 0.02', ' 9.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.35', ' 0.37', '-1.68'] 
Timestamp: 1656015029.2554936, Acceleration: [' 0.30', ' 0.13', ' 9.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.35', ' 0.37', '-1.69'] 
Timestamp: 1656015029.3555038, Acceleration: ['-0.19', ' 0.23', ' 8.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.35', ' 0.38', '-1.70'] 
Timestamp: 1656015029.455509, Acceleration: [' 0.41', ' 0.31', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.36', ' 0.38', '-1.70'] 
Timestamp: 1656015029.5555117, Acceleration: [' 0.15', ' 0.39', ' 8.58'], Velocity: [' 0.02', ' 0.04', '-0.12'], Position: [' 0.36', ' 0.39', '-1.72'] 
Timestamp: 1656015029.6555183, Acceleration: [' 0.21', ' 0.27', ' 9.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.36', ' 0.40', '-1.74'] 
Timestamp: 1656015029.7555323, Acceleration: [' 0.18', ' 0.20', ' 8.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.37', ' 0.40', '-1.75'] 
Timestamp: 1656015029.8555055, Acceleration: [' 0.34', ' 0.16', ' 9.25'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.37', ' 0.40', '-1.76'] 
Timestamp: 1656015029.9555342, Acceleration: ['-0.02', ' 0.17', ' 8.71'], Velocity: ['-0.00', ' 0.02', '-0.11'], Position: [' 0.37', ' 0.40', '-1.78'] 
Timestamp: 1656015030.0555007, Acceleration: [' 0.50', ' 0.20', ' 9.78'], Velocity: [' 0.05', ' 0.04', '-0.11'], Position: [' 0.38', ' 0.41', '-1.79'] 
Timestamp: 1656015030.1555035, Acceleration: [' 0.33', ' 0.24', ' 8.55'], Velocity: [' 0.08', ' 0.06', '-0.24'], Position: [' 0.39', ' 0.42', '-1.82'] 
Timestamp: 1656015030.25556, Acceleration: [' 0.32', ' 0.19', ' 9.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.40', ' 0.42', '-1.85'] 
Timestamp: 1656015030.3554993, Acceleration: [' 0.09', ' 0.12', ' 9.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.40', ' 0.43', '-1.86'] 
Timestamp: 1656015030.4555025, Acceleration: [' 0.35', ' 0.13', ' 9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.41', ' 0.43', '-1.87'] 
Timestamp: 1656015030.555514, Acceleration: ['-0.12', ' 0.35', ' 8.63'], Velocity: ['-0.01', ' 0.04', '-0.12'], Position: [' 0.41', ' 0.43', '-1.89'] 
Timestamp: 1656015030.6555264, Acceleration: [' 0.50', ' 0.21', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.41', ' 0.44', '-1.90'] 
Timestamp: 1656015030.7555456, Acceleration: [' 0.61', ' 0.27', ' 8.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.42', ' 0.44', '-1.91'] 
