Timestamp: 1647980696.432189, Acceleration: ['-0.19', ' 0.07', ' 9.81'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.4419906, Acceleration: ['-0.19', ' 0.01', ' 9.92'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.451885, Acceleration: ['-0.19', '-0.03', ' 9.84'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.4619002, Acceleration: ['-0.18', '-0.01', ' 9.74'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.472005, Acceleration: ['-0.15', '-0.05', ' 9.88'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.4819663, Acceleration: ['-0.14', ' 0.02', ' 9.92'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.491851, Acceleration: ['-0.17', ' 0.03', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5019755, Acceleration: ['-0.18', '-0.00', ' 9.75'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5118668, Acceleration: ['-0.13', ' 0.00', ' 9.74'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.521843, Acceleration: ['-0.10', ' 0.01', ' 9.89'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5319037, Acceleration: ['-0.08', ' 0.00', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5438883, Acceleration: ['-0.10', ' 0.00', ' 9.84'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5518703, Acceleration: ['-0.14', ' 0.02', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5619378, Acceleration: ['-0.15', '-0.05', ' 9.76'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5721817, Acceleration: ['-0.15', '-0.00', ' 9.89'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.581936, Acceleration: ['-0.17', ' 0.04', ' 9.95'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.5918834, Acceleration: ['-0.18', '-0.00', ' 9.99'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.602328, Acceleration: ['-0.11', '-0.07', ' 9.76'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.6118603, Acceleration: ['-0.14', ' 0.02', ' 9.81'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.6219585, Acceleration: ['-0.02', ' 0.06', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.632031, Acceleration: ['-0.15', ' 0.05', ' 9.94'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
