Timestamp: 1656014515.609958, Acceleration: [' 0.26', '-1.12', '-9.70'], Velocity: [' 0.25', '-0.31', '-7.00'], Position: [' 0.17', '-0.07', '-2.82'] 
Timestamp: 1656014515.6202066, Acceleration: ['-0.51', '-0.62', '-9.90'], Velocity: [' 0.24', '-0.32', '-7.21'], Position: [' 0.17', '-0.07', '-2.90'] 
Timestamp: 1656014515.629819, Acceleration: [' 0.36', '-0.65', '-8.73'], Velocity: [' 0.24', '-0.32', '-7.38'], Position: [' 0.17', '-0.07', '-2.97'] 
Timestamp: 1656014515.6411269, Acceleration: [' 0.14', '-0.53', '-9.26'], Velocity: [' 0.25', '-0.33', '-7.60'], Position: [' 0.17', '-0.08', '-3.05'] 
Timestamp: 1656014515.650937, Acceleration: [' 0.96', '-0.80', '-9.10'], Velocity: [' 0.26', '-0.34', '-7.78'], Position: [' 0.18', '-0.08', '-3.13'] 
Timestamp: 1656014515.659788, Acceleration: [' 0.83', '-0.61', '-8.92'], Velocity: [' 0.26', '-0.34', '-7.95'], Position: [' 0.18', '-0.08', '-3.20'] 
Timestamp: 1656014515.6698787, Acceleration: [' 1.06', '-0.69', '-10.14'], Velocity: [' 0.27', '-0.35', '-8.15'], Position: [' 0.18', '-0.09', '-3.29'] 
Timestamp: 1656014515.6802745, Acceleration: [' 0.44', '-1.01', '-11.17'], Velocity: [' 0.28', '-0.36', '-8.37'], Position: [' 0.19', '-0.09', '-3.37'] 
Timestamp: 1656014515.690888, Acceleration: [' 0.48', '-1.09', '-10.02'], Velocity: [' 0.28', '-0.37', '-8.58'], Position: [' 0.19', '-0.09', '-3.47'] 
Timestamp: 1656014515.6997669, Acceleration: [' 0.37', '-1.01', '-10.03'], Velocity: [' 0.29', '-0.38', '-8.76'], Position: [' 0.19', '-0.10', '-3.55'] 
