Timestamp: 1656015171.260553, Acceleration: [' 0.15', ' 0.42', '-9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.67'] 
Timestamp: 1656015171.2706313, Acceleration: [' 0.82', ' 0.27', '-10.26'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.67'] 
Timestamp: 1656015171.2805758, Acceleration: [' 0.52', ' 0.40', '-10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.67'] 
Timestamp: 1656015171.2906315, Acceleration: [' 0.73', ' 0.42', '-10.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.68'] 
Timestamp: 1656015171.3016546, Acceleration: [' 0.64', ' 0.30', '-9.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.68'] 
Timestamp: 1656015171.310629, Acceleration: [' 0.44', ' 0.37', '-9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.68'] 
Timestamp: 1656015171.3210654, Acceleration: [' 0.81', ' 0.21', '-10.43'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.69'] 
Timestamp: 1656015171.3305912, Acceleration: [' 0.27', ' 0.33', '-9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.69'] 
Timestamp: 1656015171.3423347, Acceleration: [' 0.69', ' 0.39', '-10.51'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.69'] 
Timestamp: 1656015171.3506317, Acceleration: [' 0.16', ' 0.47', '-9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.70'] 
Timestamp: 1656015171.3610842, Acceleration: [' 0.85', ' 0.35', '-10.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.70'] 
Timestamp: 1656015171.371115, Acceleration: [' 0.31', ' 0.35', '-10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.70'] 
Timestamp: 1656015171.3811412, Acceleration: [' 0.90', ' 0.35', '-10.18'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.70'] 
Timestamp: 1656015171.3922873, Acceleration: [' 0.53', ' 0.40', '-9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.71'] 
Timestamp: 1656015171.4010131, Acceleration: [' 0.54', ' 0.43', '-9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.71'] 
Timestamp: 1656015171.410768, Acceleration: [' 0.64', ' 0.23', '-10.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.71'] 
Timestamp: 1656015171.4252481, Acceleration: [' 0.13', ' 0.31', '-9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.72'] 
Timestamp: 1656015171.431797, Acceleration: [' 0.86', ' 0.32', '-9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.72'] 
Timestamp: 1656015171.4406087, Acceleration: [' 0.07', ' 0.43', '-9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.72'] 
Timestamp: 1656015171.4505868, Acceleration: [' 0.88', ' 0.28', '-10.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.73'] 
Timestamp: 1656015171.4606678, Acceleration: [' 0.14', ' 0.59', '-9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.73'] 
Timestamp: 1656015171.4707527, Acceleration: [' 0.42', ' 0.16', '-10.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.73'] 
Timestamp: 1656015171.4806674, Acceleration: [' 0.51', ' 0.24', '-10.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.74'] 
Timestamp: 1656015171.4934602, Acceleration: [' 0.45', ' 0.39', '-9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.74'] 
Timestamp: 1656015171.5008402, Acceleration: [' 0.24', ' 0.43', '-10.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.74'] 
Timestamp: 1656015171.51075, Acceleration: [' 0.55', ' 0.21', '-9.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.74'] 
Timestamp: 1656015171.5226488, Acceleration: [' 0.12', ' 0.18', '-10.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.75'] 
Timestamp: 1656015171.5306969, Acceleration: [' 0.71', ' 0.14', '-9.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.75'] 
