Timestamp: 1656014461.732081, Acceleration: [' 0.31', ' 0.15', '25.62'], Velocity: [' 0.58', '-0.67', '16.92'], Position: [' 0.34', '-0.47', ' 9.83'] 
Timestamp: 1656014461.7420192, Acceleration: [' 0.63', ' 0.40', '25.28'], Velocity: [' 0.59', '-0.67', '17.08'], Position: [' 0.34', '-0.47', '10.00'] 
Timestamp: 1656014461.7522147, Acceleration: [' 0.69', '-0.69', '25.05'], Velocity: [' 0.59', '-0.68', '17.23'], Position: [' 0.35', '-0.48', '10.17'] 
Timestamp: 1656014461.7621224, Acceleration: [' 0.69', '-0.85', '25.37'], Velocity: [' 0.60', '-0.68', '17.39'], Position: [' 0.35', '-0.49', '10.35'] 
Timestamp: 1656014461.7724893, Acceleration: [' 0.43', '-0.94', '27.13'], Velocity: [' 0.60', '-0.69', '17.57'], Position: [' 0.36', '-0.50', '10.53'] 
Timestamp: 1656014461.782635, Acceleration: [' 0.38', '-0.65', '26.41'], Velocity: [' 0.61', '-0.70', '17.73'], Position: [' 0.37', '-0.50', '10.71'] 
Timestamp: 1656014461.7925253, Acceleration: [' 0.30', ' 0.33', '27.41'], Velocity: [' 0.61', '-0.70', '17.91'], Position: [' 0.37', '-0.51', '10.89'] 
Timestamp: 1656014461.8020885, Acceleration: [' 0.39', ' 0.09', '25.86'], Velocity: [' 0.62', '-0.70', '18.06'], Position: [' 0.38', '-0.52', '11.06'] 
Timestamp: 1656014461.8121576, Acceleration: [' 0.36', ' 0.81', '26.87'], Velocity: [' 0.62', '-0.69', '18.23'], Position: [' 0.39', '-0.52', '11.25'] 
Timestamp: 1656014461.8225324, Acceleration: [' 0.34', '-0.17', '25.85'], Velocity: [' 0.62', '-0.69', '18.40'], Position: [' 0.39', '-0.53', '11.44'] 
Timestamp: 1656014461.8320255, Acceleration: [' 0.53', ' 0.49', '25.63'], Velocity: [' 0.63', '-0.69', '18.55'], Position: [' 0.40', '-0.54', '11.62'] 
Timestamp: 1656014461.842062, Acceleration: [' 0.57', '-0.32', '25.26'], Velocity: [' 0.63', '-0.69', '18.71'], Position: [' 0.40', '-0.54', '11.80'] 
Timestamp: 1656014461.8524208, Acceleration: [' 0.65', '-0.71', '24.95'], Velocity: [' 0.64', '-0.70', '18.86'], Position: [' 0.41', '-0.55', '12.00'] 
Timestamp: 1656014461.862014, Acceleration: [' 0.53', '-0.82', '26.74'], Velocity: [' 0.65', '-0.70', '19.02'], Position: [' 0.42', '-0.56', '12.18'] 
Timestamp: 1656014461.8720105, Acceleration: [' 0.23', '-0.78', '26.60'], Velocity: [' 0.65', '-0.71', '19.19'], Position: [' 0.42', '-0.56', '12.38'] 
Timestamp: 1656014461.8824952, Acceleration: [' 0.37', ' 0.33', '27.89'], Velocity: [' 0.65', '-0.71', '19.38'], Position: [' 0.43', '-0.57', '12.58'] 
Timestamp: 1656014461.892165, Acceleration: [' 0.29', ' 0.33', '26.05'], Velocity: [' 0.65', '-0.71', '19.54'], Position: [' 0.44', '-0.58', '12.77'] 
Timestamp: 1656014461.9020703, Acceleration: [' 0.49', ' 1.12', '26.54'], Velocity: [' 0.66', '-0.69', '19.70'], Position: [' 0.44', '-0.59', '12.97'] 
Timestamp: 1656014461.9122386, Acceleration: [' 0.34', '-0.04', '25.38'], Velocity: [' 0.66', '-0.69', '19.86'], Position: [' 0.45', '-0.59', '13.17'] 
Timestamp: 1656014461.922569, Acceleration: [' 0.42', ' 0.43', '25.90'], Velocity: [' 0.67', '-0.69', '20.03'], Position: [' 0.46', '-0.60', '13.38'] 
Timestamp: 1656014461.9322987, Acceleration: [' 0.43', '-0.53', '25.65'], Velocity: [' 0.67', '-0.70', '20.18'], Position: [' 0.46', '-0.61', '13.57'] 
Timestamp: 1656014461.9423587, Acceleration: [' 0.61', '-0.41', '25.31'], Velocity: [' 0.68', '-0.70', '20.34'], Position: [' 0.47', '-0.61', '13.78'] 
Timestamp: 1656014461.9523175, Acceleration: [' 0.47', '-0.51', '26.31'], Velocity: [' 0.68', '-0.70', '20.50'], Position: [' 0.48', '-0.62', '13.98'] 
Timestamp: 1656014461.9620404, Acceleration: [' 0.32', '-0.67', '26.14'], Velocity: [' 0.68', '-0.71', '20.66'], Position: [' 0.48', '-0.63', '14.19'] 
Timestamp: 1656014461.9725113, Acceleration: [' 0.25', ' 0.20', '28.07'], Velocity: [' 0.69', '-0.71', '20.85'], Position: [' 0.49', '-0.64', '14.41'] 
Timestamp: 1656014461.9830384, Acceleration: [' 0.26', ' 1.31', '26.97'], Velocity: [' 0.69', '-0.70', '21.03'], Position: [' 0.50', '-0.64', '14.63'] 
Timestamp: 1656014461.99226, Acceleration: [' 0.25', ' 1.38', '26.70'], Velocity: [' 0.69', '-0.68', '21.19'], Position: [' 0.50', '-0.65', '14.82'] 
Timestamp: 1656014462.0022483, Acceleration: [' 0.33', ' 0.29', '24.93'], Velocity: [' 0.70', '-0.68', '21.34'], Position: [' 0.51', '-0.66', '15.04'] 
Timestamp: 1656014462.0126252, Acceleration: [' 0.46', ' 0.35', '25.22'], Velocity: [' 0.70', '-0.68', '21.50'], Position: [' 0.52', '-0.66', '15.26'] 
Timestamp: 1656014462.022263, Acceleration: [' 0.37', '-0.51', '25.90'], Velocity: [' 0.70', '-0.68', '21.66'], Position: [' 0.53', '-0.67', '15.47'] 
Timestamp: 1656014462.0321443, Acceleration: [' 0.53', '-0.40', '25.53'], Velocity: [' 0.71', '-0.68', '21.81'], Position: [' 0.53', '-0.68', '15.69'] 
