Timestamp: 1652804043.9361105, Acceleration: ['-0.05', ' 0.42', ' 0.75'], Velocity: [' 0.07', ' 0.44', '-11.75'], Position: [' 0.03', ' 0.30', '-8.36'] 
Timestamp: 1652804043.9457097, Acceleration: [' 0.09', ' 0.29', ' 0.75'], Velocity: [' 0.07', ' 0.45', '-11.84'], Position: [' 0.03', ' 0.30', '-8.47'] 
Timestamp: 1652804043.9556968, Acceleration: [' 0.13', ' 0.33', ' 0.72'], Velocity: [' 0.08', ' 0.45', '-11.93'], Position: [' 0.03', ' 0.31', '-8.59'] 
Timestamp: 1652804043.972433, Acceleration: [' 0.06', ' 0.40', ' 1.01'], Velocity: [' 0.08', ' 0.46', '-12.07'], Position: [' 0.03', ' 0.31', '-8.79'] 
Timestamp: 1652804043.97896, Acceleration: [' 0.23', ' 0.33', ' 0.93'], Velocity: [' 0.08', ' 0.46', '-12.13'], Position: [' 0.03', ' 0.32', '-8.87'] 
Timestamp: 1652804043.9856555, Acceleration: ['-0.08', ' 0.30', ' 0.84'], Velocity: [' 0.08', ' 0.46', '-12.19'], Position: [' 0.03', ' 0.32', '-8.96'] 
Timestamp: 1652804044.002537, Acceleration: ['-0.05', ' 0.42', ' 0.73'], Velocity: [' 0.08', ' 0.47', '-12.34'], Position: [' 0.03', ' 0.33', '-9.16'] 
Timestamp: 1652804044.0097141, Acceleration: [' 0.19', ' 0.49', ' 0.85'], Velocity: [' 0.08', ' 0.47', '-12.41'], Position: [' 0.03', ' 0.33', '-9.25'] 
Timestamp: 1652804044.0166538, Acceleration: [' 0.26', ' 0.39', ' 0.85'], Velocity: [' 0.08', ' 0.47', '-12.47'], Position: [' 0.03', ' 0.33', '-9.34'] 
Timestamp: 1652804044.025933, Acceleration: [' 0.09', ' 0.45', ' 1.02'], Velocity: [' 0.08', ' 0.48', '-12.55'], Position: [' 0.03', ' 0.34', '-9.46'] 
Timestamp: 1652804044.0359337, Acceleration: [' 0.14', ' 0.27', ' 0.80'], Velocity: [' 0.08', ' 0.48', '-12.64'], Position: [' 0.03', ' 0.34', '-9.58'] 
Timestamp: 1652804044.045914, Acceleration: [' 0.27', ' 0.30', ' 0.91'], Velocity: [' 0.08', ' 0.48', '-12.73'], Position: [' 0.03', ' 0.35', '-9.71'] 
Timestamp: 1652804044.0558197, Acceleration: [' 0.21', ' 0.43', ' 1.08'], Velocity: [' 0.09', ' 0.49', '-12.82'], Position: [' 0.04', ' 0.35', '-9.84'] 
Timestamp: 1652804044.0663636, Acceleration: [' 0.22', ' 0.41', ' 0.86'], Velocity: [' 0.09', ' 0.49', '-12.91'], Position: [' 0.04', ' 0.36', '-9.98'] 
Timestamp: 1652804044.075928, Acceleration: [' 0.22', ' 0.47', ' 0.89'], Velocity: [' 0.09', ' 0.50', '-13.00'], Position: [' 0.04', ' 0.36', '-10.10'] 
Timestamp: 1652804044.085909, Acceleration: [' 0.19', ' 0.44', ' 0.88'], Velocity: [' 0.09', ' 0.50', '-13.09'], Position: [' 0.04', ' 0.37', '-10.23'] 
Timestamp: 1652804044.0957704, Acceleration: [' 0.16', ' 0.36', ' 0.87'], Velocity: [' 0.09', ' 0.50', '-13.18'], Position: [' 0.04', ' 0.37', '-10.36'] 
Timestamp: 1652804044.1060967, Acceleration: [' 0.09', ' 0.30', ' 0.79'], Velocity: [' 0.10', ' 0.51', '-13.27'], Position: [' 0.04', ' 0.38', '-10.50'] 
Timestamp: 1652804044.1162841, Acceleration: [' 0.10', ' 0.41', ' 0.70'], Velocity: [' 0.10', ' 0.51', '-13.36'], Position: [' 0.04', ' 0.38', '-10.64'] 
Timestamp: 1652804044.125772, Acceleration: [' 0.13', ' 0.44', ' 0.59'], Velocity: [' 0.10', ' 0.52', '-13.45'], Position: [' 0.04', ' 0.39', '-10.76'] 
Timestamp: 1652804044.1359806, Acceleration: [' 0.02', ' 0.42', ' 0.68'], Velocity: [' 0.10', ' 0.52', '-13.54'], Position: [' 0.04', ' 0.39', '-10.90'] 
Timestamp: 1652804044.1457968, Acceleration: [' 0.02', ' 0.43', ' 0.84'], Velocity: [' 0.10', ' 0.52', '-13.63'], Position: [' 0.04', ' 0.40', '-11.04'] 
Timestamp: 1652804044.1557393, Acceleration: ['-0.03', ' 0.31', ' 0.78'], Velocity: [' 0.10', ' 0.53', '-13.72'], Position: [' 0.04', ' 0.40', '-11.17'] 
Timestamp: 1652804044.1660717, Acceleration: ['-0.06', ' 0.35', ' 0.73'], Velocity: [' 0.10', ' 0.53', '-13.81'], Position: [' 0.05', ' 0.41', '-11.32'] 
Timestamp: 1652804044.1759756, Acceleration: ['-0.08', ' 0.35', ' 0.74'], Velocity: [' 0.10', ' 0.53', '-13.90'], Position: [' 0.05', ' 0.41', '-11.46'] 
Timestamp: 1652804044.185767, Acceleration: ['-0.08', ' 0.33', ' 0.76'], Velocity: [' 0.10', ' 0.54', '-13.99'], Position: [' 0.05', ' 0.42', '-11.59'] 
Timestamp: 1652804044.195929, Acceleration: ['-0.08', ' 0.33', ' 0.88'], Velocity: [' 0.10', ' 0.54', '-14.08'], Position: [' 0.05', ' 0.43', '-11.74'] 
Timestamp: 1652804044.205872, Acceleration: [' 0.03', ' 0.26', ' 0.84'], Velocity: [' 0.10', ' 0.54', '-14.17'], Position: [' 0.05', ' 0.43', '-11.88'] 
Timestamp: 1652804044.2158518, Acceleration: ['-0.02', ' 0.16', ' 0.87'], Velocity: [' 0.10', ' 0.55', '-14.26'], Position: [' 0.05', ' 0.44', '-12.02'] 
Timestamp: 1652804044.2258854, Acceleration: [' 0.08', ' 0.22', ' 0.82'], Velocity: [' 0.10', ' 0.55', '-14.35'], Position: [' 0.05', ' 0.44', '-12.17'] 
Timestamp: 1652804044.2358537, Acceleration: [' 0.09', ' 0.26', ' 0.81'], Velocity: [' 0.10', ' 0.55', '-14.44'], Position: [' 0.05', ' 0.45', '-12.31'] 
Timestamp: 1652804044.2458725, Acceleration: [' 0.16', ' 0.43', ' 0.96'], Velocity: [' 0.10', ' 0.55', '-14.53'], Position: [' 0.05', ' 0.45', '-12.46'] 
Timestamp: 1652804044.2557194, Acceleration: [' 0.12', ' 0.41', ' 1.01'], Velocity: [' 0.10', ' 0.56', '-14.62'], Position: [' 0.05', ' 0.46', '-12.60'] 
Timestamp: 1652804044.265889, Acceleration: [' 0.24', ' 0.36', ' 0.97'], Velocity: [' 0.10', ' 0.56', '-14.71'], Position: [' 0.06', ' 0.46', '-12.75'] 
Timestamp: 1652804044.2760406, Acceleration: [' 0.20', ' 0.34', ' 0.93'], Velocity: [' 0.10', ' 0.57', '-14.80'], Position: [' 0.06', ' 0.47', '-12.90'] 
Timestamp: 1652804044.2860682, Acceleration: [' 0.16', ' 0.40', ' 0.84'], Velocity: [' 0.11', ' 0.57', '-14.89'], Position: [' 0.06', ' 0.48', '-13.05'] 
Timestamp: 1652804044.296095, Acceleration: [' 0.21', ' 0.36', ' 0.84'], Velocity: [' 0.11', ' 0.57', '-14.98'], Position: [' 0.06', ' 0.48', '-13.20'] 
Timestamp: 1652804044.3057504, Acceleration: [' 0.22', ' 0.56', ' 0.84'], Velocity: [' 0.11', ' 0.58', '-15.06'], Position: [' 0.06', ' 0.49', '-13.35'] 
Timestamp: 1652804044.3157687, Acceleration: [' 0.14', ' 0.38', ' 0.91'], Velocity: [' 0.11', ' 0.58', '-15.15'], Position: [' 0.06', ' 0.49', '-13.50'] 
