Timestamp: 1652971677.1054003, Acceleration: [' 0.36', ' 0.38', ' 1.72'], Velocity: [' 0.29', ' 0.52', '-7.51'], Position: [' 0.17', ' 0.26', '-4.03'] 
Timestamp: 1652971677.1153316, Acceleration: [' 0.29', ' 0.53', ' 1.74'], Velocity: [' 0.30', ' 0.52', '-7.59'], Position: [' 0.17', ' 0.27', '-4.10'] 
Timestamp: 1652971677.1251605, Acceleration: [' 0.15', ' 0.66', ' 1.78'], Velocity: [' 0.30', ' 0.53', '-7.67'], Position: [' 0.17', ' 0.27', '-4.18'] 
Timestamp: 1652971677.1354012, Acceleration: [' 0.42', ' 0.59', ' 1.93'], Velocity: [' 0.30', ' 0.54', '-7.75'], Position: [' 0.18', ' 0.28', '-4.26'] 
Timestamp: 1652971677.1451979, Acceleration: [' 0.51', ' 0.58', ' 1.94'], Velocity: [' 0.31', ' 0.54', '-7.82'], Position: [' 0.18', ' 0.28', '-4.34'] 
Timestamp: 1652971677.155156, Acceleration: [' 0.15', ' 0.67', ' 1.88'], Velocity: [' 0.31', ' 0.55', '-7.90'], Position: [' 0.18', ' 0.29', '-4.41'] 
Timestamp: 1652971677.165456, Acceleration: [' 0.22', ' 0.68', ' 1.95'], Velocity: [' 0.31', ' 0.55', '-7.98'], Position: [' 0.19', ' 0.29', '-4.50'] 
Timestamp: 1652971677.1751058, Acceleration: [' 0.21', ' 0.67', ' 1.91'], Velocity: [' 0.31', ' 0.56', '-8.06'], Position: [' 0.19', ' 0.30', '-4.58'] 
Timestamp: 1652971677.185302, Acceleration: [' 0.04', ' 0.59', ' 1.86'], Velocity: [' 0.31', ' 0.57', '-8.14'], Position: [' 0.19', ' 0.31', '-4.66'] 
Timestamp: 1652971677.195329, Acceleration: [' 0.18', ' 0.62', ' 1.85'], Velocity: [' 0.32', ' 0.57', '-8.22'], Position: [' 0.20', ' 0.31', '-4.74'] 
Timestamp: 1652971677.205229, Acceleration: [' 0.41', ' 0.67', ' 1.95'], Velocity: [' 0.32', ' 0.58', '-8.30'], Position: [' 0.20', ' 0.32', '-4.82'] 
Timestamp: 1652971677.2152758, Acceleration: [' 0.26', ' 0.47', ' 1.76'], Velocity: [' 0.32', ' 0.58', '-8.38'], Position: [' 0.20', ' 0.32', '-4.91'] 
Timestamp: 1652971677.2252488, Acceleration: [' 0.17', ' 0.41', ' 1.71'], Velocity: [' 0.32', ' 0.59', '-8.46'], Position: [' 0.21', ' 0.33', '-4.99'] 
Timestamp: 1652971677.2352097, Acceleration: [' 0.48', ' 0.59', ' 1.88'], Velocity: [' 0.33', ' 0.59', '-8.54'], Position: [' 0.21', ' 0.33', '-5.08'] 
Timestamp: 1652971677.2453058, Acceleration: [' 0.38', ' 0.49', ' 1.77'], Velocity: [' 0.33', ' 0.60', '-8.62'], Position: [' 0.21', ' 0.34', '-5.17'] 
Timestamp: 1652971677.255224, Acceleration: [' 0.33', ' 0.46', ' 1.77'], Velocity: [' 0.34', ' 0.60', '-8.70'], Position: [' 0.22', ' 0.35', '-5.25'] 
Timestamp: 1652971677.265398, Acceleration: [' 0.38', ' 0.45', ' 1.75'], Velocity: [' 0.34', ' 0.61', '-8.78'], Position: [' 0.22', ' 0.35', '-5.34'] 
Timestamp: 1652971677.2752259, Acceleration: [' 0.44', ' 0.71', ' 1.92'], Velocity: [' 0.34', ' 0.62', '-8.86'], Position: [' 0.22', ' 0.36', '-5.43'] 
Timestamp: 1652971677.2852132, Acceleration: [' 0.32', ' 0.66', ' 1.92'], Velocity: [' 0.35', ' 0.62', '-8.94'], Position: [' 0.23', ' 0.37', '-5.52'] 
Timestamp: 1652971677.2952332, Acceleration: [' 0.18', ' 0.61', ' 1.87'], Velocity: [' 0.35', ' 0.63', '-9.02'], Position: [' 0.23', ' 0.37', '-5.61'] 
Timestamp: 1652971677.3052726, Acceleration: [' 0.30', ' 0.71', ' 1.95'], Velocity: [' 0.35', ' 0.64', '-9.10'], Position: [' 0.23', ' 0.38', '-5.70'] 
Timestamp: 1652971677.3151991, Acceleration: [' 0.31', ' 0.72', ' 1.94'], Velocity: [' 0.36', ' 0.64', '-9.18'], Position: [' 0.24', ' 0.38', '-5.79'] 
Timestamp: 1652971677.3274927, Acceleration: [' 0.04', ' 0.64', ' 1.76'], Velocity: [' 0.36', ' 0.65', '-9.27'], Position: [' 0.24', ' 0.39', '-5.91'] 
Timestamp: 1652971677.335232, Acceleration: [' 0.01', ' 0.70', ' 1.77'], Velocity: [' 0.36', ' 0.66', '-9.34'], Position: [' 0.24', ' 0.40', '-5.98'] 
Timestamp: 1652971677.3455415, Acceleration: [' 0.22', ' 0.65', ' 1.77'], Velocity: [' 0.36', ' 0.66', '-9.42'], Position: [' 0.25', ' 0.40', '-6.08'] 
Timestamp: 1652971677.3554435, Acceleration: [' 0.16', ' 0.66', ' 1.89'], Velocity: [' 0.36', ' 0.67', '-9.50'], Position: [' 0.25', ' 0.41', '-6.17'] 
Timestamp: 1652971677.3652723, Acceleration: [' 0.14', ' 0.54', ' 1.77'], Velocity: [' 0.36', ' 0.67', '-9.58'], Position: [' 0.25', ' 0.42', '-6.27'] 
Timestamp: 1652971677.3751552, Acceleration: [' 0.27', ' 0.53', ' 1.66'], Velocity: [' 0.36', ' 0.68', '-9.66'], Position: [' 0.26', ' 0.42', '-6.36'] 
Timestamp: 1652971677.3852067, Acceleration: [' 0.48', ' 0.53', ' 1.85'], Velocity: [' 0.37', ' 0.68', '-9.74'], Position: [' 0.26', ' 0.43', '-6.46'] 
Timestamp: 1652971677.3953142, Acceleration: [' 0.56', ' 0.46', ' 1.85'], Velocity: [' 0.37', ' 0.69', '-9.82'], Position: [' 0.27', ' 0.44', '-6.56'] 
Timestamp: 1652971677.4052675, Acceleration: [' 0.26', ' 0.47', ' 1.78'], Velocity: [' 0.38', ' 0.69', '-9.90'], Position: [' 0.27', ' 0.45', '-6.66'] 
