Timestamp: 1656014576.3697107, Acceleration: ['-0.79', ' 0.15', '-9.43'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.71'] 
Timestamp: 1656014576.378006, Acceleration: ['-0.96', ' 0.25', '-11.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.71'] 
Timestamp: 1656014576.3879526, Acceleration: ['-0.67', ' 0.02', '-9.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.71'] 
Timestamp: 1656014576.398024, Acceleration: ['-0.12', '-0.22', '-9.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.71'] 
Timestamp: 1656014576.408235, Acceleration: ['-1.34', '-0.30', '-7.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.72'] 
Timestamp: 1656014576.4180949, Acceleration: ['-1.43', '-0.18', '-9.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.72'] 
Timestamp: 1656014576.432043, Acceleration: ['-2.15', ' 0.14', '-10.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.72'] 
Timestamp: 1656014576.439102, Acceleration: ['-1.00', ' 0.11', '-10.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.73'] 
Timestamp: 1656014576.4481807, Acceleration: ['-1.03', '-0.04', '-10.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.73'] 
Timestamp: 1656014576.4579937, Acceleration: ['-0.54', '-0.12', '-9.34'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.73'] 
