Timestamp: 1652974071.5643015, Acceleration: ['-0.24', ' 0.01', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.5741098, Acceleration: ['-0.31', ' 0.07', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.584164, Acceleration: [' 0.09', '-0.00', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.594085, Acceleration: [' 0.00', '-0.03', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6040041, Acceleration: ['-0.08', ' 0.05', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6142519, Acceleration: ['-0.05', '-0.13', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6242082, Acceleration: [' 0.02', '-0.11', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6341026, Acceleration: ['-0.17', '-0.09', ' 9.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6441166, Acceleration: ['-0.13', '-0.20', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6562448, Acceleration: ['-0.09', '-0.08', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6641917, Acceleration: ['-0.34', ' 0.02', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.674138, Acceleration: ['-0.10', ' 0.02', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.685865, Acceleration: ['-0.13', ' 0.05', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.6939042, Acceleration: ['-0.07', '-0.05', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7039294, Acceleration: ['-0.11', ' 0.10', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7141688, Acceleration: [' 0.06', ' 0.04', '10.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7269263, Acceleration: ['-0.14', '-0.16', ' 9.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7339973, Acceleration: ['-0.09', ' 0.06', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7440853, Acceleration: ['-0.10', '-0.13', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.754335, Acceleration: [' 0.01', '-0.15', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7640107, Acceleration: ['-0.09', '-0.20', ' 9.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7740014, Acceleration: ['-0.02', '-0.07', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7845228, Acceleration: ['-0.20', '-0.05', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.7940629, Acceleration: ['-0.16', '-0.16', ' 9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.8042386, Acceleration: ['-0.11', '-0.01', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.8142085, Acceleration: ['-0.27', ' 0.05', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.824242, Acceleration: ['-0.01', ' 0.11', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.8339965, Acceleration: ['-0.00', ' 0.01', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.843838, Acceleration: ['-0.04', ' 0.04', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.8543944, Acceleration: [' 0.05', '-0.03', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.8640687, Acceleration: [' 0.07', '-0.17', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.8739862, Acceleration: ['-0.10', '-0.14', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.884319, Acceleration: ['-0.06', '-0.07', ' 9.63'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.8941367, Acceleration: ['-0.07', '-0.12', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.9041579, Acceleration: ['-0.21', '-0.09', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.9144235, Acceleration: ['-0.22', '-0.02', ' 9.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.924091, Acceleration: ['-0.14', '-0.02', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.9339838, Acceleration: ['-0.20', ' 0.08', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.9443324, Acceleration: ['-0.20', ' 0.09', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.9541464, Acceleration: ['-0.03', ' 0.07', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.9639735, Acceleration: ['-0.04', ' 0.07', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.9742017, Acceleration: ['-0.08', ' 0.02', ' 9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.984159, Acceleration: ['-0.04', '-0.08', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
