Timestamp: 1656017479.7733908, Acceleration: ['-0.29', ' 0.20', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.7842145, Acceleration: ['-0.43', ' 0.21', '10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.7926412, Acceleration: ['-0.10', '-0.02', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.80393, Acceleration: ['-0.18', ' 0.09', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.8186665, Acceleration: ['-0.15', ' 0.02', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.82671, Acceleration: ['-0.24', '-0.22', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.8348148, Acceleration: ['-0.51', ' 0.13', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.8443966, Acceleration: ['-0.50', ' 0.12', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.8528552, Acceleration: ['-0.35', '-0.25', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.862698, Acceleration: ['-0.34', '-0.04', '10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.8732886, Acceleration: ['-0.18', ' 0.26', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.8828251, Acceleration: ['-0.13', ' 0.34', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.892902, Acceleration: ['-0.21', ' 0.13', ' 9.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.9159453, Acceleration: ['-0.31', '-0.08', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.9250093, Acceleration: ['-0.27', ' 0.12', '10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.9322567, Acceleration: ['-0.31', ' 0.12', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.9395504, Acceleration: ['-0.28', ' 0.17', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.9475746, Acceleration: ['-0.09', ' 0.08', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.956574, Acceleration: ['-0.32', ' 0.33', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.9641016, Acceleration: ['-0.08', ' 0.10', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.972437, Acceleration: ['-0.14', ' 0.09', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.9847648, Acceleration: ['-0.37', ' 0.12', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017479.99264, Acceleration: ['-0.29', ' 0.23', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.002788, Acceleration: ['-0.38', '-0.04', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0233812, Acceleration: ['-0.08', ' 0.10', '10.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0317357, Acceleration: ['-0.13', '-0.04', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0390913, Acceleration: ['-0.24', '-0.03', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.050136, Acceleration: ['-0.44', ' 0.07', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0581043, Acceleration: ['-0.26', ' 0.08', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0652127, Acceleration: ['-0.47', ' 0.04', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0723426, Acceleration: ['-0.34', ' 0.04', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0892198, Acceleration: ['-0.26', ' 0.25', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.0965436, Acceleration: ['-0.11', ' 0.07', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1038735, Acceleration: ['-0.09', '-0.11', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1124268, Acceleration: ['-0.08', '-0.04', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1241672, Acceleration: ['-0.14', ' 0.13', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1325345, Acceleration: ['-0.16', ' 0.20', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1424882, Acceleration: ['-0.32', ' 0.03', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.153821, Acceleration: ['-0.36', '-0.11', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1630971, Acceleration: ['-0.34', ' 0.11', '10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1725883, Acceleration: ['-0.21', '-0.05', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.1880817, Acceleration: [' 0.06', ' 0.02', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.195392, Acceleration: ['-0.27', '-0.07', ' 9.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.202584, Acceleration: ['-0.08', '-0.02', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.2150147, Acceleration: ['-0.08', '-0.03', ' 9.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.2226388, Acceleration: ['-0.24', ' 0.21', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.232514, Acceleration: ['-0.26', ' 0.09', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.2431276, Acceleration: ['-0.31', ' 0.06', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.2528908, Acceleration: ['-0.21', '-0.08', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.262853, Acceleration: ['-0.16', '-0.07', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.2839043, Acceleration: [' 0.04', '-0.06', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.2911446, Acceleration: ['-0.04', ' 0.12', '10.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.2981935, Acceleration: ['-0.18', ' 0.10', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.3051662, Acceleration: ['-0.19', '-0.14', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.3161426, Acceleration: [' 0.01', ' 0.02', '10.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.3230064, Acceleration: ['-0.14', ' 0.00', '10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.3376114, Acceleration: ['-0.04', ' 0.06', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.346706, Acceleration: [' 0.03', '-0.06', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.3546038, Acceleration: [' 0.05', ' 0.05', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.362955, Acceleration: ['-0.03', ' 0.01', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.37308, Acceleration: ['-0.17', '-0.01', ' 9.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.3829858, Acceleration: ['-0.07', ' 0.25', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.3932438, Acceleration: ['-0.29', '-0.10', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.40292, Acceleration: ['-0.29', '-0.10', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4143012, Acceleration: ['-0.14', '-0.20', '10.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4232714, Acceleration: [' 0.13', ' 0.00', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4331117, Acceleration: ['-0.03', ' 0.05', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.44323, Acceleration: [' 0.00', ' 0.06', ' 9.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4535053, Acceleration: ['-0.13', ' 0.04', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4625413, Acceleration: ['-0.18', '-0.02', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4730318, Acceleration: ['-0.10', ' 0.09', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4833944, Acceleration: ['-0.15', '-0.13', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.4935846, Acceleration: ['-0.17', '-0.22', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.5057328, Acceleration: [' 0.02', ' 0.08', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.5147243, Acceleration: [' 0.16', ' 0.16', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.523702, Acceleration: [' 0.08', ' 0.09', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.5332577, Acceleration: ['-0.06', ' 0.08', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.5438492, Acceleration: ['-0.15', '-0.02', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.553628, Acceleration: ['-0.12', '-0.11', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.5670788, Acceleration: ['-0.22', ' 0.03', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017480.5742543, Acceleration: [' 0.08', '-0.01', '10.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
